70,4,→,31.66266
67,4,→,38.17976
37,2,↓,42.13456
80,4,→,49.91409
79,4,→,52.61226
36,2,↓,54.73565
73,4,→,57.19889
68,4,→,60.99249
23,2,↓,65.32123
69,4,→,67.03568
75,4,↓,68.58289
51,3,←,73.90677
72,4,→,76.46632
77,4,→,78.17648
34,2,↓,81.61491
24,2,↓,84.75964
52,3,←,90.6657
10,1,↑,92.98242
19,1,↑,94.83978
43,3,←,97.7678
35,2,↓,100.2597
22,2,↓,102.0996
18,1,↑,103.5888
44,3,←,106.6242
4,1,↑,107.9688
31,2,↓,109.3424
12,1,↑,110.5585
65,4,→,121.3512
48,3,←,122.7898
55,3,←,124.5818
5,1,↑,125.9959
8,1,↑,127.2849
71,4,→,133.9033
32,2,↓,135.4544
64,4,→,139.3835
16,1,↑,140.6426
57,3,←,141.9813
46,3,←,143.2255
30,2,↓,144.536
50,3,←,145.8008
58,3,←,147.3202
74,4,→,151.7981
13,1,↑,153.8761
27,2,↓,155.4824
17,1,↑,156.8979
1,1,↑,158.097
54,3,←,159.2797
47,3,←,160.4409
21,2,↓,161.9509
9,1,↑,163.1178
60,3,←,167.1794
61,4,→,168.8113
42,3,←,171.2422
25,2,↓,172.9552
11,1,↑,174.1194
14,1,↑,175.679
62,4,→,185.0405
76,4,→,187.0662
2,1,↑,188.6553
59,3,←,190.2215
6,1,↑,191.4373
33,2,↓,193.0422
41,3,←,194.4464
26,2,↓,195.8394
28,2,↓,197.1139
40,2,↓,199.9433
20,1,↑,201.3379
45,3,←,203.3175
56,3,←,204.5607
78,4,→,205.9606
66,4,→,212.2188
38,2,↓,214.7514
63,4,→,216.4938
7,1,↑,217.8613
29,2,↓,219.3249
53,3,←,220.6557
15,1,↑,222.0583
49,3,←,223.3261
3,1,↑,224.5412
39,2,↓,225.9255
