66,4,→,47.26176
32,2,↓,54.21616
8,1,↑,64.80346
39,2,↓,71.50014
20,1,↑,76.8418
29,2,↓,81.27917
50,3,←,85.36304
76,4,→,92.33598
68,4,←,99.75948
40,2,↓,102.9529
34,2,↓,108.98
12,1,↑,112.0831
17,1,↑,115.1651
62,4,→,119.5981
59,3,←,122.1403
80,4,←,124.6353
24,2,↓,127.9762
30,2,↓,130.9041
51,3,←,133.3195
19,1,↑,135.6841
65,4,→,139.8578
58,3,←,141.9358
67,4,→,145.6653
42,3,←,150.0198
37,2,↓,151.8816
28,2,↓,154.6331
6,1,↑,160.2453
21,2,↓,162.2213
33,2,↓,166.113
60,3,←,167.8806
57,3,←,169.8553
25,2,↓,171.6772
78,4,→,175.2124
35,2,↓,176.7784
71,4,→,180.0734
1,1,↑,181.6713
45,3,←,183.3212
55,3,←,184.9015
3,1,↑,186.4773
63,4,→,188.2952
16,1,↑,189.9231
61,4,→,191.7607
56,3,←,193.2808
22,2,↓,194.9598
4,1,↑,196.5587
14,1,↑,198.5731
26,2,↓,200.0604
36,2,↓,201.7052
75,4,→,203.1788
54,3,←,206.8657
69,4,→,209.4615
47,3,←,210.8215
48,3,←,212.3078
31,2,↓,213.6355
2,1,↑,214.9951
13,1,↑,218.4203
5,1,↑,220.2918
15,1,↑,221.9821
44,3,←,223.5018
74,4,→,225.1009
73,4,→,229.0819
79,4,→,234.3594
7,1,↑,235.8621
72,4,→,237.4969
70,4,→,243.7131
52,3,←,245.3602
27,2,↓,246.8794
77,4,→,248.2624
53,3,←,249.7563
64,4,→,251.2761
11,1,↑,252.7011
23,2,↓,254.1781
18,1,↑,255.6737
9,1,↑,257.1127
46,3,←,258.4575
49,3,←,259.8398
43,3,←,261.3014
10,1,↑,262.8608
38,2,↓,264.2811
41,3,←,265.6027
