74,3,1,←,5,84.36211
72,3,1,←,5,96.38448
17,7,7,↑,4,112.2048
89,6,8,↓,5,122.2649
40,3,4,→,4,131.6181
46,6,5,↑,4,148.1822
80,3,1,←,5,156.7713
66,2,4,→,3,166.2001
88,6,8,↓,5,173.9002
57,7,8,↓,5,178.9584
42,6,7,↓,4,185.1221
47,6,5,↑,3,193.8707
81,6,8,↓,5,200.2479
3,2,2,→,1,221.3869
77,3,1,←,5,233.8773
53,7,6,↑,5,269.3422
5,2,2,→,1,286.3074
76,3,1,←,5,301.8967
73,3,1,←,5,308.2787
28,2,1,←,4,314.9775
20,7,7,↑,4,322.3013
6,3,3,←,1,329.9754
79,3,1,←,5,335.0761
30,2,1,←,4,339.8425
32,3,2,←,5,344.3348
8,3,3,→,1,349.8836
27,2,1,←,4,355.416
12,6,6,↑,2,364.2586
44,6,7,↓,4,369.264
59,7,8,↓,5,374.306
56,7,8,↓,5,379.5768
29,2,1,←,5,383.9591
61,2,4,→,5,388.5956
4,2,2,→,1,393.6998
98,7,5,↑,4,399.5819
78,3,1,←,4,404.0143
97,7,5,↑,4,416.3235
21,2,3,→,2,429.3549
49,6,5,↑,4,433.8814
23,2,3,→,5,439.5176
15,6,6,↑,1,444.4547
83,6,8,↓,5,448.8315
51,7,6,↑,5,454.0179
9,3,3,→,1,465.7176
39,3,4,→,4,471.0577
65,2,4,→,5,475.7744
95,7,5,↑,4,480.7465
50,6,5,↑,4,489.5204
68,2,4,→,5,495.5933
86,6,8,↓,5,501.2178
55,7,6,↑,5,506.3989
58,7,8,↓,2,511.285
75,3,1,←,4,526.3416
87,6,8,↓,4,533.4592
36,3,4,→,4,538.2829
19,7,7,↑,2,543.8807
45,6,7,↓,5,627.0426
85,6,8,↓,5,632.1605
91,7,5,↑,4,638.5745
60,7,8,↓,5,642.3401
63,2,4,→,5,646.3989
16,7,7,↑,2,653.0916
26,2,1,←,4,661.0556
92,7,5,↑,5,667.116
96,7,5,↑,5,671.145
62,2,4,→,5,675.0939
22,2,3,→,5,679.7484
2,2,2,→,1,684.8405
99,7,5,↑,5,690.6372
69,2,4,→,5,698.4704
64,2,4,→,5,703.176
25,2,3,→,5,707.6019
31,3,2,←,3,715.6284
43,6,7,↓,5,720.2496
67,2,4,→,5,724.4567
100,7,5,↑,5,728.1414
84,6,8,↓,5,731.9626
10,3,3,←,1,737.0718
14,6,6,↑,1,741.6766
41,6,7,↓,5,746.0742
54,7,6,↑,5,749.5924
24,2,3,→,5,753.7988
48,6,5,↑,4,757.3945
71,3,1,←,5,762.1603
90,6,8,↓,5,766.2212
70,2,4,→,5,769.7557
11,6,6,↑,1,773.5609
35,3,2,←,5,779.3851
37,3,4,→,4,783.1128
93,7,5,↑,5,788.2019
82,6,8,↓,5,791.8698
38,3,4,→,4,795.5622
18,7,7,↑,2,799.9806
34,3,2,←,5,804.598
1,2,2,←,1,808.4215
13,6,6,↑,1,812.2936
52,7,6,↑,4,817.1828
94,7,5,↑,5,821.3
33,3,2,←,5,825.6602
7,3,3,→,5,830.3636
