19,1,↑,32.32408
52,3,←,44.01577
25,2,↓,50.901
53,3,←,57.11287
46,3,←,63.55725
56,3,←,67.811
60,3,←,73.37772
73,4,→,79.71143
16,1,↑,83.32233
34,2,↓,91.87843
11,1,↑,96.00349
64,4,→,104.143
29,2,↓,109.996
71,4,→,117.3366
30,2,↓,120.5562
57,3,←,123.3243
44,3,←,125.5407
40,2,↓,127.8187
1,1,↑,130.1295
47,3,←,136.7811
5,1,↑,139.5018
55,3,←,141.9795
68,4,→,144.1225
80,4,→,149.4636
59,3,←,151.6601
39,2,↓,153.5894
24,2,↓,156.1575
37,2,↓,157.9395
20,1,↑,159.7617
77,4,→,163.4559
35,2,↓,165.9187
61,4,→,168.4614
63,4,→,172.1719
67,4,→,174.65
13,1,↑,176.5424
31,2,↓,178.3424
22,2,↓,180.2631
66,4,→,182.2433
10,1,↑,183.8938
12,1,↑,185.541
2,1,↑,187.1379
17,1,↑,188.7552
7,1,↑,191.4833
43,3,←,193.5203
72,4,→,195.6305
78,4,→,198.1571
69,4,→,203.4827
79,4,→,209.0315
8,1,↑,210.9512
74,4,→,212.7762
62,4,→,215.3967
38,2,↓,217.3151
45,3,←,219.6216
42,3,←,223.5545
28,2,↓,226.0786
26,2,↓,230.9001
33,2,↓,232.8316
6,1,↑,234.4776
70,4,→,236.2172
48,3,←,239.1804
14,1,↑,241.4304
76,4,→,243.2793
15,1,↑,245.0371
50,3,←,247.0924
51,3,←,248.8383
23,2,↓,250.5311
27,2,↓,252.1771
54,3,←,253.8577
58,3,←,255.4556
9,1,↑,256.9418
32,2,↓,260.758
21,2,↓,262.2997
18,1,↑,263.7547
41,3,←,265.2738
49,3,←,267.2732
75,4,→,269.0158
65,4,→,277.9234
4,1,↑,281.4089
36,2,↓,283.0594
3,1,↑,284.7036
